# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:P'
# Event count (approx.): 11254857444
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ................  ...............................................................................................................................................................................................................................................................  ....................
#
     0.03%  [unknown]         [k] 0xffffffff84c001ba                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff860259e1                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85ef7ce9                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8602b545                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8545853f                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85f60797                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85eefcca                                                                                                                                                                                                                                           -      -
     0.03%  frankenredis      [.] fr_command::check_command_arity                                                                                                                                                                                                                              -      -
     0.03%  [unknown]         [k] 0xffffffff8603d634                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8600dcd4                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff86022fe9                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85f0cdb3                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8603f799                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff853f12b3                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffffc0fed2c8                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff84f88cfa                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85ef6ad4                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8604c8b7                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85021adb                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffffc0fdd3f4                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff862206a7                                                                                                                                                                                                                                           -      -
     0.03%  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_with_kind                                                                                                                                                                                                        -      -
     0.03%  [unknown]         [k] 0xffffffff84c000b6                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff850210c8                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffffc0f9277e                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85f27425                                                                                                                                                                                                                                           -      -
     0.03%  frankenredis      [.] <fr_store::Store>::drop_if_expired                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85089913                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8519f726                                                                                                                                                                                                                                           -      -
     0.03%  frankenredis      [.] <alloc::collections::btree::map::IntoIter<alloc::vec::Vec<u8>, alloc::collections::btree::set_val::SetValZST>>::dying_next                                                                                                                                   -      -
     0.03%  [unknown]         [k] 0xffffffff85729248                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8620d8f7                                                                                                                                                                                                                                           -      -
     0.03%  frankenredis      [.] _mi_theap_malloc_zero                                                                                                                                                                                                                                        -      -
     0.03%  [unknown]         [k] 0xffffffff8507eb44                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8502171f                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85eef9fb                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff86009b44                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff84ff08e4                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff84f8c9ca                                                                                                                                                                                                                                           -      -
